Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-11,50.303,60.71,49.253,59.747,208348
2018-05-14,65.529,72.082,62.927,64.276,249288
2018-05-15,64.179,64.179,56.162,59.747,97505
2018-05-16,61.193,61.577,57.829,61.356,35290
2018-05-17,61.549,61.577,56.855,56.855,24976
2018-05-18,56.855,59.747,56.181,56.855,13556
2018-05-21,57.829,60.71,57.829,58.59,21103
2018-05-22,60.228,60.325,58.783,59.612,7871
2018-05-23,59.747,59.747,56.663,58.783,12638
2018-05-24,58.783,58.783,57.636,58.773,5778
2018-05-25,58.783,58.783,57.338,58.311,6117
2018-05-28,58.59,61.674,57.839,61.674,37807
2018-05-29,67.456,70.058,63.697,64.931,94005
2018-05-30,62.618,64.372,59.073,60.228,33504
2018-06-01,60.228,62.638,59.458,61.674,6632
2018-06-04,62.638,67.36,62.156,67.167,20639
2018-06-05,68.911,75.156,68.429,75.156,76231
2018-06-06,76.851,84.512,74.49,76.418,102082
2018-06-07,78.441,80.947,74.212,79.984,22842
2018-06-08,79.492,80.937,77.574,79.839,16450
2018-06-11,81.429,81.718,72.804,76.505,29878
2018-06-12,76.466,79.02,76.466,77.468,8278
2018-06-13,77.912,78.057,75.657,76.389,5846
2018-06-14,75.165,79.984,73.335,79.502,21826
2018-06-15,79.694,79.791,77.767,79.02,13245
2018-06-18,78.924,78.924,77.092,77.931,6312
2018-06-19,77.189,77.189,73.623,75.647,11557
2018-06-20,75.165,76.033,71.503,74.192,12652
2018-06-21,74.192,75.338,68.901,70.347,16330
2018-06-22,69.866,71.311,69.866,70.338,6763
2018-06-25,70.588,77.083,68.998,74.847,11217
2018-06-26,74.972,76.033,72.294,74.192,7274
2018-06-27,73.431,74.298,71.918,72.419,6276
2018-06-28,71.937,74.202,71.802,74.183,7330
2018-06-29,72.438,74.173,72.429,73.238,13023
2018-07-02,73.238,75.262,73.238,75.165,19457
2018-07-03,75.165,75.165,73.778,74.587,3556
2018-07-04,75.021,76.948,74.202,74.684,9922
2018-07-05,74.78,78.538,74.404,77.574,33729
2018-07-06,78.057,79.02,77.112,77.131,7467
2018-07-09,77.95,78.047,75.696,76.9,4450
2018-07-10,77.131,85.477,76.707,82.489,66496
2018-07-11,83.838,83.838,81.91,82.393,8326
2018-07-12,83.067,83.829,79.02,82.652,6232
2018-07-13,82.778,83.645,81.902,82.393,5801
2018-07-16,83.26,83.829,82.2,82.402,3796
2018-07-17,82.421,82.421,80.032,81.622,7318
2018-07-18,81.882,81.902,79.608,80.465,7804
2018-07-19,80.465,81.419,78.74,79.984,5581
2018-07-20,80.947,83.645,79.984,81.323,13913
2018-07-23,82.286,83.386,81.429,83.386,7520
2018-07-24,83.838,84.754,79.993,84.079,17195
2018-07-25,84.802,93.282,83.838,91.548,30018
2018-07-26,92.029,96.356,92.029,95.402,29849
2018-07-27,95.884,103.11,92.801,102.05,43483
2018-07-30,106.01,112.17,100.41,101.67,76111
2018-07-31,101.18,106.97,97.233,98.293,30389
2018-08-01,98.773,100.98,97.388,98.853,17970
2018-08-02,99.55,100.41,98.873,99.061,10729
2018-08-03,99.26,100.22,97.811,97.811,6983
2018-08-06,99.26,99.72,93.976,95.884,17488
2018-08-07,96.366,99.121,93.764,96.173,16212
2018-08-08,97.233,102.9,95.884,102.9,64349
2018-08-09,105.23,109.85,102.27,109.85,32985
2018-08-10,110.05,110.05,106.01,109.38,12741
2018-08-13,108.79,114.17,106.09,112.75,22833
2018-08-14,112.75,118.51,111.79,118.05,23011
2018-08-16,120.34,122.96,113.33,120.93,20825
2018-08-17,121.42,122.77,116.14,118.53,21119
2018-08-20,119.5,123.54,115.64,116.12,17982
2018-08-21,118.34,118.53,113.73,116.6,11225
2018-08-22,117.56,119.5,114.19,114.79,10124
2018-08-23,116.6,116.6,111.81,112.65,13601
2018-08-24,116.51,116.51,112.98,113.71,9449
2018-08-27,114.68,119.97,114.49,115.64,28413
2018-08-28,113.23,118.53,101.92,101.92,72515
2018-08-29,101.9,110.82,91.711,106.01,74246
2018-08-30,108.7,108.7,101.18,103.11,12502
2018-08-31,102.15,102.15,94.438,97.619,25680
2018-09-03,96.385,97.329,81.91,81.91,65348
2018-09-04,80.08,88.088,78.249,86.517,62318
2018-09-05,86.344,93.282,86.344,88.175,35701
2018-09-06,86.632,87.211,82.875,85.283,24712
2018-09-07,83.838,89.428,83.838,85.283,27132
2018-09-10,83.858,90.054,80.947,89.62,23927
2018-09-11,91.548,91.548,83.838,84.224,15581
2018-09-12,86.922,87.693,82.393,82.894,14494
2018-09-13,85.727,85.727,83.838,85.505,4205
2018-09-14,85.765,86.536,84.802,86.44,5773
2018-09-17,86.344,98.773,86.344,98.773,23965
2018-09-18,99.26,106.01,98.293,98.293,24189
2018-09-19,97.811,101.18,92.607,92.993,21172
2018-09-20,93.003,95.383,92.993,94.824,3197
2018-09-21,95.402,98.197,94.921,96.366,5172
2018-09-24,96.366,97.329,89.62,89.62,17033
2018-09-25,90.68,94.428,90.68,94.101,7182
2018-09-26,94.246,97.907,92.607,93.455,12105
2018-09-27,94.246,96.848,94.246,94.438,7029
2018-09-28,95.402,97.29,91.644,93.475,9538
2018-10-01,93.475,95.769,90.199,90.892,5150
2018-10-02,89.716,91.47,88.175,89.138,8517
2018-10-03,89.61,91.114,85.573,90.969,23710
2018-10-04,91.548,91.595,86.835,88.656,11493
2018-10-05,87.114,95.393,87.114,91.162,18450
2018-10-08,91.143,93.475,85.988,87.789,7802
2018-10-09,86.826,88.357,85.38,87.307,6243
2018-10-10,87.211,87.211,81.91,83.26,12152
2018-10-11,79.116,80.831,73.238,76.804,45430
2018-10-12,78.057,80.899,74.684,80.745,18167
2018-10-15,81.91,82.2,78.345,79.839,18551
2018-10-16,79.984,80.755,77.767,79.984,8794
2018-10-17,79.984,80.774,77.189,77.574,11881
2018-10-18,77.286,79.02,75.358,76.225,14407
2018-10-19,75.551,76.611,74.49,75.753,12072
2018-10-22,75.165,75.165,68.419,73.719,32894
2018-10-23,71.311,71.311,66.493,70.357,32409
2018-10-24,68.622,74.105,68.622,71.812,18702
2018-10-25,68.044,69.383,65.933,68.179,41644
2018-10-26,68.419,71.407,68.419,68.429,21182
2018-10-29,68.439,70.25,68.439,69.817,7631
2018-10-30,69.383,69.962,68.93,69.866,4955
2018-10-31,70.492,74.202,70.492,72.66,11377
2018-11-02,74.202,79.02,74.202,78.057,14285
2018-11-05,79.04,91.432,79.03,88.656,47769
2018-11-06,90.487,94.921,87.221,91.451,25028
2018-11-07,92.993,94.053,84.031,85.12,18507
2018-11-08,85.236,88.656,83.954,84.946,12434
2018-11-09,83.838,83.838,79.502,82.585,16992
2018-11-13,79.984,79.984,78.057,79.502,13378
2018-11-14,78.538,84.416,78.065,84.175,4931
2018-11-15,84.802,85.755,81.91,83.357,4837
2018-11-16,83.163,84.32,78.306,79.502,11913
2018-11-19,80.465,81.853,74.78,78.644,9114
2018-11-20,78.057,79.868,74.972,75.213,10926
2018-11-21,74.105,74.202,71.117,72.852,30814
2018-11-22,73.816,80.957,72.756,80.957,18649
2018-11-23,82.875,84.32,80.273,80.273,11296
2018-11-26,80.176,82.682,79.984,81.429,5958
2018-11-27,81.429,81.91,79.984,80.947,2741
2018-11-28,81.333,83.742,81.333,82.875,10310
2018-11-29,83.645,85.765,83.645,85.187,11442
2018-11-30,84.802,85.958,84.32,84.802,5466
2018-12-03,84.995,86.536,78.075,80.003,20691
2018-12-04,81.236,81.236,77.382,79.598,8809
2018-12-05,78.519,78.731,76.514,78.057,11235
2018-12-06,77.092,77.092,74.587,75.165,18799
2018-12-07,76.1,79.309,76.1,77.083,10556
2018-12-10,75.165,76.129,74.202,74.202,8900
2018-12-11,75.165,75.647,73.478,75.165,5820
2018-12-12,75.165,75.83,73.97,75.165,5118
2018-12-13,76.129,82.393,75.165,80.08,29700
2018-12-14,80.08,81.14,77.43,78.441,4975
2018-12-17,78.432,79.02,76.129,77.333,7579
2018-12-18,77.092,77.092,75.165,75.937,3480
2018-12-19,76.129,78.249,75.377,77.141,6645
2018-12-20,75.937,76.611,75.165,75.281,5588
2018-12-21,75.502,76.322,70.54,71.503,18008
2018-12-27,72.756,74.394,72.274,74.394,8742
2018-12-28,74.684,77.092,72.756,77.092,10095
2019-01-02,76.129,77.083,75.32,75.753,10170
2019-01-03,75.637,75.753,74.298,74.308,3967
2019-01-04,74.22,79.752,74.22,79.502,11580
2019-01-07,80.08,81.333,78.837,80.369,11868
2019-01-08,84.802,88.589,83.838,86.73,43861
2019-01-09,86.748,87.693,84.369,87.693,15104
2019-01-10,87.5,87.5,85.091,85.765,6489
2019-01-11,85.755,88.155,84.898,85.765,11254
2019-01-14,86.536,87.298,83.453,85.755,6615
2019-01-15,84.811,88.175,84.522,87.789,8044
2019-01-16,88.175,90.969,88.175,90.583,18466
2019-01-17,91.066,91.249,88.656,89.524,9797
2019-01-18,89.909,90.342,88.175,88.367,6502
2019-01-21,88.656,88.656,87.741,88.319,2147
2019-01-22,87.693,87.693,84.802,86.344,4425
2019-01-23,86.73,91.451,86.73,89.919,14564
2019-01-24,89.62,89.62,87.981,88.175,3778
2019-01-25,88.175,90.468,82.008,85.187,11744
2019-01-28,85.187,86.632,84.32,85.129,4126
2019-01-29,84.474,86.73,84.474,85.283,1966
2019-01-30,85.283,85.804,83.838,84.33,4718
2019-01-31,85.283,85.283,82.875,83.453,4257
2019-02-01,83.559,84.512,82.875,83.453,3256
2019-02-04,83.838,87.885,83.838,86.632,11592
2019-02-05,87.693,87.693,85.92,86.344,5124
2019-02-06,86.73,87.597,83.934,84.802,11262
2019-02-07,85.052,85.283,80.947,81.91,19890
2019-02-08,80.465,81.043,79.617,79.791,11623
2019-02-11,77.208,80.273,77.102,79.116,15790
2019-02-12,79.309,82.393,79.309,81.15,8782
2019-02-13,80.659,82.711,80.659,81.333,2211
2019-02-14,82.104,82.104,79.984,81.323,2951
2019-02-15,80.465,81.429,79.984,80.947,2357
2019-02-18,81.15,83.549,81.15,82.875,3788
2019-02-19,83.357,83.357,81.632,81.824,3190
2019-02-20,81.814,83.357,81.14,83.26,3958
2019-02-21,83.645,84.802,82.875,84.58,5039
2019-02-22,84.58,85.187,84.128,85.187,5737
2019-02-25,85.236,86.344,84.802,85.765,10742
2019-02-26,85.765,85.958,84.802,85.718,2900
2019-02-27,85.38,85.958,84.802,85.322,8978
2019-02-28,83.838,87.597,83.838,87.5,15082
2019-03-01,88.637,91.548,88.521,90.102,15523
2019-03-04,90.102,90.102,86.826,90.005,12844
2019-03-05,90.005,90.575,88.993,90.565,4068
2019-03-06,89.716,92.993,89.716,92.029,9703
2019-03-07,92.029,92.415,90.69,91.451,3068
2019-03-08,90.583,91.451,87.885,87.885,3717
2019-03-11,87.885,89.524,86.845,88.656,2361
2019-03-12,89.138,94.342,88.715,91.836,9707
2019-03-13,92.511,92.944,91.836,92.463,5009
2019-03-14,92.936,95.402,92.936,95.402,7539
2019-03-15,95.691,98.39,94.872,95.055,21748
2019-03-18,95.499,96.366,93.764,95.402,10691
2019-03-19,95.402,100.1,94.178,97.329,14937
2019-03-20,98.972,101,98.293,100.7,16147
2019-03-21,101.18,101.47,98.293,100.22,8571
2019-03-22,98.293,101.18,95.402,96.366,23176
2019-03-25,95.036,95.402,91.548,94.332,20738
2019-03-26,94.246,94.921,92.993,94.535,4160
2019-03-27,94.901,98.081,94.901,96.848,9071
2019-03-28,97.329,98.773,96.366,97.946,23538
2019-03-29,98.293,98.293,97.272,98.293,11251
2019-04-01,100.22,104.66,98.678,101.57,31361
2019-04-02,102.15,110.63,101.96,107.93,46867
2019-04-03,110.05,114.1,109.47,113.33,34056
2019-04-04,113.51,113.51,109.09,109.28,23509
2019-04-05,115.84,118.15,111.79,113.71,51129
2019-04-08,113.71,114.68,110.82,114.68,11373
2019-04-09,114.68,115.25,112.75,114.29,9360
2019-04-10,114.49,114.49,112.36,112.75,12115
2019-04-11,112.75,112.75,110.24,110.82,10973
2019-04-12,112.55,113.14,111.4,111.59,3856
2019-04-15,112.75,112.75,109.47,111.2,5532
2019-04-16,110.82,110.82,107.16,108.5,9045
2019-04-17,108.32,108.7,105.42,106.77,9993
2019-04-18,106.58,110.44,104.07,110.44,15713
2019-04-23,111.2,115.64,111.01,115.64,14336
2019-04-24,115.64,117.95,113.51,115.25,18651
2019-04-25,115.64,117.56,114.68,117.56,16017
2019-04-26,118.53,122.19,118.53,122,21019
2019-04-29,122,122.19,117.76,120.26,11764
2019-04-30,118.34,120.46,118.34,119.5,7436
2019-05-02,120.46,124.31,120.46,123.54,9222
2019-05-06,122.77,123.16,118.72,122.58,12690
2019-05-07,123.35,123.35,117.95,117.95,9421
2019-05-08,117.56,127.2,116.6,126.24,24920
2019-05-09,127.59,136.84,127.59,130.09,49249
2019-05-10,132.03,133.56,127.2,131.05,13107
2019-05-13,131.05,131.05,125.47,127.39,6147
2019-05-14,127.59,130.09,124.51,129.13,8858
2019-05-15,130.09,137.61,129.13,136.65,19715
2019-05-16,138.57,143.58,138.57,141.27,22408
2019-05-17,141.27,141.27,136.07,137.8,12043
2019-05-20,137.8,137.8,125.28,125.66,31536
2019-05-21,125.28,132.79,122.38,126.63,26222
2019-05-22,124.31,129.52,112.94,126.24,59978
